Name,Port
FrontLeftDrivingCanId,2
RearLeftDrivingCanId,8
FrontRightDrivingCanId,4
RearRightDrivingCanId,6
FrontLeftTurningCanId,3
RearLeftTurningCanId,9
FrontRightTurningCanId,5
RearRightTurningCanId,7
DriverControllerPort,0
ArmControllerPort,1
ElevatorLeftMotorPort,10 
ElevatorRightMotorPort,11
ElevatorEncoderPort,10
ThroughCoralOuttakeMotorPort,12
BranchCoralOuttakeMotorPort,19
FrontLaserCanPort,20
BackLaserCanPort,21
AlgaeInOutTakeMotorPort,23
AlgaeWristMotorPort,22
BlinkinPort,0
ClimbMotorPort,13
